DEL,ID,Smiles
CHEMBL,CHEMBL3353081,COc1cc(-c2nc(/C=C/c3ccc(F)cc3)n(C)n2)ccc1-n1cnc(C)c1
CHEMBL,CHEMBL3758509,O=C1C=C2C=C(c3cccc(C(F)(F)F)c3)[C@@H]3C[C@@]2(O1)[C@H]1CCCCN31
CHEMBL,CHEMBL260790,Nc1nc(-c2ccco2)c2ncn(Cc3cccc([N+](=O)[O-])c3)c2n1
CHEMBL,CHEMBL1935001,COc1cc(F)c(C(C)C)cc1-c1ccc([N+](=O)[O-])cc1CN1C(=O)O[C@H](c2cc(C(F)(F)F)cc(C(F)(F)F)c2)[C@@H]1C
CHEMBL,CHEMBL3655726,O=C(NC1CCNC1)[C@@H]1CCCN1c1nc(Nc2cc(C3CC3)[nH]n2)c2cccn2n1
CHEMBL,CHEMBL3822507,COc1cc(/C=C2\C(=O)Nc3ccccc32)ccc1OCC(=O)N1CC(C)OC(C)C1
CHEMBL,CHEMBL1652382,Cc1cc2c(NCCN)c3c(c(NCCN)c2o1)C(=O)c1ccccc1C3=O
CHEMBL,CHEMBL4067113,CC1(C)Oc2cc(C#Cc3cc(F)ccc3C(F)(F)F)ccc2-c2nc(-c3c(Cl)cncc3Cl)[nH]c21
CHEMBL,CHEMBL306849,CC(C)(N)CC(=O)N[C@@H]1CCc2ccccc2N(Cc2ccc(-c3ccccc3C(=O)NCCCCO)cc2)C1=O
CHEMBL,CHEMBL151884,Cc1cc2nc3ccc(C(N)=O)cn3c(=O)c2s1
CHEMBL,CHEMBL401857,CC(C)c1c(-c2nnc(CN)o2)cn2ncnc(Nc3cc(C(=O)NC4CC4)c(F)cc3F)c12
CHEMBL,CHEMBL502107,COc1cc(C2CC(=O)c3ccccc3O2)ccc1O
CHEMBL,CHEMBL1594859,COC(=O)NNC(=O)c1ccc(Cl)cc1Cl
CHEMBL,CHEMBL1383149,Cc1ccc(-n2cc(C(=O)c3ccccc3O)cn2)cc1
CHEMBL,CHEMBL1992007,O=C1c2ccccc2C(=O)C2C3c4ccccc4C(c4ccccc43)C12
CHEMBL,CHEMBL1179164,CCCCCCCCCCCCCCCCSCCC[N+]1(C)C=CC(O)=C1
CHEMBL,CHEMBL3951404,O=C(NCc1ccnnc1)c1cc(NC(=O)c2cc(-c3ccccn3)c(F)cc2Cl)n(-c2ccccc2)n1
CHEMBL,CHEMBL2268538,CCCCCCCCCCCCCCCCOc1ccc2ccc(=O)oc2c1
CHEMBL,CHEMBL1561035,CC(C)C[C@@H]1NC(=O)[C@H](C(C)C)NC(=O)c2cc([N+](=O)[O-])cc(I)c2NCC[C@@H](C(N)=O)NC1=O
CHEMBL,CHEMBL2402679,COc1ccc(/C=C/C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)C(=O)c2nc3ccccc3s2)cc1OC
CHEMBL,CHEMBL3475543,Cn1ccnc1-c1cn(CCCc2nnc(N)s2)nn1
CHEMBL,CHEMBL1188468,COc1ccc(CCNC2CCN(Cc3ccccc3)CC2)cc1OC
CHEMBL,CHEMBL227367,Cc1n[nH]c2ccc(-c3cncc(OC[C@@H](N)Cc4ccc(Br)c(F)c4)c3)cc12
CHEMBL,CHEMBL3716031,O=C(c1sc2ccccc2c1Cl)N1CCCc2cc(Cl)ccc21
CHEMBL,CHEMBL1620560,CCC(C)(C)n1nnnc1C(C(C)C)N1CCN(C)CC1
CHEMBL,CHEMBL1368621,CC(C)N(Cc1nc(-c2ccc(Cl)cc2)no1)C(=O)c1cccs1
CHEMBL,CHEMBL2311552,CC(C)=CCc1cc(C(=O)Nc2cc3ccc(OCCCN(C(C)C)C(C)C)c(C)c3oc2=O)ccc1O
CHEMBL,CHEMBL4088688,COc1ccc2c(cnn2C)c1NS(=O)(=O)c1cccc(Cl)c1Cl
CHEMBL,CHEMBL3706503,C/C=C/C(CCC)C(=O)O
