Smiles,ID
CC(C)([C@@H](CC1)C2)[C@@]1(C(O)=O)C2=O,C112
OC(Cc(cccc1)c1OC(F)(F)F)=O,C113
OC(CN(CCCCCC1)C1=O)=O,C114
CC(C)n1ncc2cc(C(O)=O)c(C)nc12,C115
OC(COCc1cnccc1)=O,C116
OC(CCSC1CCCC1)=O,C117
Cc1ccc(CCC(O)=O)cc1,C118
OC(CSc1nnc(-c2cccs2)n1C1CC1)=O,C119
N#Cc(c(Oc(cc1)ccc1C(O)=O)ccc1)c1F,C120
COC(C1(CC1)C(O)=O)=O,C121
Cc(c(C(O)=O)ccc1)c1Cl,C122
Cc(c1cc(C(O)=O)cnc11)nn1-c1nc(cccc2)c2[nH]1,C123
OC([C@H](CC1)CC[C@@H]1N1CCOCC1)=O,C124
OC(COC1COCC1)=O,C125
CN(c1cccc(Cl)c1)S(c1cc(C(O)=O)ccc1)(=O)=O,C126
COc(c(OC)c1)cc(CC(O)=O)c1Br,C127
CC(C)n1c(C(O)=O)cc(Br)c1,C128
CC(C)(C(O)=O)O,C129
CC(C)CNC(N(CCC1)CC1C(O)=O)=O,C130
NC(c1cccnc1Sc(cc1)ccc1C(O)=O)=O,C131
COc1ccc(CCC(O)=O)cc1,C132
OC(c(o1)ccc1S(N1CCOCC1)(=O)=O)=O,C133
Cc(cc(cc1)O)c1C(O)=O,C134
COC1(CC(O)=O)CCC1,C135
CCc1n[nH]c(SCC(O)=O)n1,C136
CC(C)(Cc1ccccc1)C(O)=O,C137
OC(c1cccc(F)c1Cl)=O,C138
OC(CN1CCCCCC1)=O,C139
CC(C)n(c1nc(-c2ccco2)c2)ncc1c2C(O)=O,C140
CC(C(O)=O)OCC1CC1,C141
Cn(c(C(O)=O)c1)c(N(C)C(N2C)=O)c1C2=O,C142
Cc(ccc(Br)c1)c1C(O)=O,C143
OC(COc1cccc(F)c1)=O,C144
OC(C(CC1)CCC1(F)F)=O,C145
COc(cc1)cc([nH]2)c1nc2Sc1ncccc1C(O)=O,C146
CC(C)([C@@H](C(O)=O)N([C@@H]1C2)C2=O)S1(=O)=O,C147
NC(c1cccc(C(O)=O)c1)=O,C148
Cc(cc1)c(CC(O)=O)cc1Br,C149
Cc1nn(C(CC(C2)C3)(CC2C2)CC23C(O)=O)nn1,C150
CCOc(cc1)ccc1OCC(O)=O,C151
Cc(ccc(F)c1)c1Nc(ncc(C(O)=O)c1)c1Cl,C152
